Jurisdiction,Standard,I_CODE,CAS_CODE
**,,,
NS,,AP,Pinu nigr
NS,,JP,Pinu bank
NS,,RP,Pinu resi
NS,,SP,Pinu sylv
NS,,WP,Pinu stro
NS,,*BF,Abie pice
NS,,BF,Abie bals
NS,,DF,Pseu menz
NS,,BS,Pice mari
NS,,NS,Pice abie
NS,,RS,Pice rube
NS,,SS,Pice sitc
NS,,WS,Pice glau
NS,,XS,Pice spp.
NS,,EC,Thuj occi
NS,,EH,Tsug cana
NS,,EL,Lari deci
NS,,JL,Lari kaem
NS,,TL,Lari lari
NS,,WL,Lari occi
NS,,*XL,Lari xmar
NS,,XL,Lari hybr
NS,,OS,Soft unkn
NS,,US,Soft unkn
NS,,*TA,Popu trem
NS,,TA,Popu spp.
NS,,AS,Frax spp.
NS,,BC,Prun sero
NS,,BE,Fagu gran
NS,,BP,Popu balb
NS,,WE,Ulmu amer
NS,,GB,Betu popu
NS,,YB,Betu alle
NS,,WB,Betu papy
NS,,IW,Ostr virg
NS,,RO,Quer rubr
NS,,SM,Acer sacc
NS,,RM,Acer rubr
NS,,TH,Hard tole
NS,,IH,Hard into
NS,,OH,Hard unkn
NS,,UH,Hard unkn
NS,,UC,Uncl spp.
NS,,WI,Sali spp.
**,,,
*
AB,,*UN,Spec unkn
AB,,A,Popu spp.
AB,,AW,Popu trem
AB,,BW,Betu papy
AB,,FA,Abie lasi
AB,,FB,Abie bals
AB,,FD,Pseu menz
AB,,LA,Lari lyal
AB,,LT,Lari lari
AB,,LW,Lari occi
AB,,P,Pinu spp.
AB,,PA,Pinu albi
AB,,PB,Popu balb
AB,,PF,Pinu flex
AB,,PJ,Pinu bank
AB,,PL,Pinu cont
AB,,SB,Pice mari
AB,,SE,Pice enge
AB,,SW,Pice glau
AB,,BP,Betu papy
AB,,WI,Sali spp.
AB,,AL,Alnu spp.
*
MB,,AS,Frax spp.
MB,,*BA,Popu bals
MB,,BA,Popu balb
MB,,BF,Abie bals
MB,,BS,Pice mari
MB,,GA,Frax penn
MB,,JP,Pinu bank
MB,,MM,Acer negu
MB,,TA,Popu trem
MB,,TL,Lari lari
MB,,LA,Lari lari
MB,,LP,Pinu cont
MB,,CE,Thuj occi
MB,,OH,Hard unkn
MB,,*WB,Betu spp.
MB,,WB,Betu papy
MB,,WS,Pice glau
**,MB_0001-FML1-FRI97 (former Tembec FMA) entries not in FLI standard
MB,,*OB,Quer macr
MB,,BO,Quer macr
MB,,E,Ulmu amer
**,various FRI inventories not in FLI and not occurring in Tembec
MB,,B,Tili amer
MB,,CO,Popu delt
MB,,EC,Thuj occi
MB,,RP,Pinu resi
MB,,SP,Pinu sylv
MB,,W,Sali spp.
** defined in FRI but do not appear in our datasets.
MB,,HH,Ostr virg
MB,,*BH,Celt occi
MB,,HB,Celt occi
MB,,EL,Lari deci
MB,,BD,Tili amer
MB,,WI,Sali spp.
MB,,WP,Pinu stro
**,,,
NB,,AL,Alnu spp.
NB,,AP,Pinu nigr
NB,,AS,Frax spp.
NB,,BA,Frax nigr
NB,,BE,Fagu gran
NB,,BF,Abie bals
NB,,BI,Betu spp.
NB,,BL,Robi psue
NB,,BP,*Popu bals
NB,,BP,Popu balb
NB,,BS,Pice mari
NB,,DF,Abie spp.
NB,,DS,Pice spp.
NB,,EB,Betu pend
NB,,EC,Thuj occi
NB,,EH,Tsug cana
NB,,EL,Lari deci
NB,,FD,Pseu menz
NB,,FS,Abie pice
NB,,GB,Betu popu
NB,,HL,Gled tria
NB,,HW,Hard unkn
NB,,*I,Ostr virg
NB,,Ir,Ostr virg
NB,,IH,Hard into
NB,,JF,Abie firm
NB,,JL,Lari kaem
NB,,JP,Pinu bank
NB,,LA,Popu gran
NB,,LP,Pinu cont
NB,,*MA,Acer sach
NB,,MA,Acer spp.
NB,,*MS,Acer sach
NB,,MS,Uncl spp.
NB,,*NC,Prun spp.
NB,,NC,Hard nonc
NB,,NR,Uncl spp.
NB,,NS,Pice abie
NB,,O,Quer spp.
NB,,Oa,Quer spp.
NB,,OH,Hard unkn
NB,,OS,Soft unkn
NB,,PI,Pinu spp.
NB,,PO,Popu spp.
NB,,PR,Pinu rigi
NB,,PS,Pinu sylv
NB,,RM,Acer rubr
NB,,RP,Pinu resi
NB,,*RS,Pice mari
NB,,RS,Pice rube
NB,,SF,Abie pice
NB,,SM,Acer sacc
NB,,*SP,Pice rube
NB,,SP,Pice spp.
NB,,SW,Soft unkn
NB,,TA,Popu trem
NB,,TH,Hard tole
NB,,TL,Lari lari
NB,,WA,Frax amer
NB,,WB,Betu papy
NB,,WC,Thuj plic
NB,,WP,Pinu stro
NB,,WO,Pinu stro
NB,,WS,Pice glau
NB,,YB,Betu alle
**,,,
NL,,BF,Abie bals
NL,,BS,Pice mari
NL,,*BP,Popu bals
NL,,BP,Popu balb
NL,,ES,Pice enge
NL,,EL,Lari deci
NL,,JP,Pinu bank
NL,,JB,Betu mand
NL,,JL,Lari kaem
NL,,LP,Pinu cont
NL,,RM,Acer rubr
NL,,RP,Pinu resi
NL,,SP,Pinu sylv
NL,,SS,Pice sitc
NL,,TL,Lari lari
NL,,TA,Popu trem
NL,,WB,Betu papy
NL,,WP,Pinu stro
NL,,WS,Pice glau
NL,,YB,Betu alle
**,,,
NT,,A,Popu trem
NT,,BW,Betu papy
NT,,SW,Pice glau
NT,,SB,Pice mari
NT,,PL,Pinu cont
NT,,PJ,Pinu bank
NT,,F,Abie lasi
NT,,L,Lari lari
NT,,PO,Popu balb
NT,,SA,Sali spp.
NT,,AL,Alnu spp.
NT,,S,Pice spp.
NT,,AW,Popu trem
NT,,LW,Lari lari
NT,,PB,Popu bals
NT,,AB,Abies spp.
NT,,BG,Uncl spp.
NT,,BS,Pice mari
NT,,PB,Popu bals
NT,,P,Pinu spp.
NT,,XX,Uncl spp.
**,,,
**,,,
PANP,,AB,Abie bals
PANP,,BP,Betu papy
PANP,,LL,Lari lari
PANP,,PG,Pice glau
PANP,,PM,Pice mari
PANP,,PB,Pinu bank
PANP,,PT,Popu trem
**,,,
PE,,AL,Alnu spp.
PE,,AP,Pinu nigr
PE,,BE,Fagu gran
PE,,*BF,Abie pice
PE,,BF,Abie bals
PE,,BS,Pice mari
PE,,BN,Jugl cine
PE,,*CE,Thuj oci
PE,,CE,Thuj occi
PE,,DF,Pseu menz
PE,,EL,Lari deci
PE,,EM,Ulmu amer
PE,,GB,Betu popu
PE,,HE,Tsug cana
PE,,JP,Pinu bank
PE,,LA,Lari lari
PE,,*LI,Pili amer
PE,,LI,Tili amer
PE,,LP,Pinu cont
PE,,*MA,Malu spp.
PE,,MA,Malu pumi
PE,,NS,Pice abie
PE,,PC,Prun pens
PE,,PO,Popu spp.
PE,,RM,Acer rubr
PE,,RP,Pinu resi
PE,,RO,Quer rubr
PE,,SM,Acer sacc
PE,,RS,Pice rube
PE,,SP,Pinu sylv
PE,,WA,Frax amer
PE,,WP,Pinu stro
PE,,WS,Pice glau
PE,,YB,Betu alle
PE,,WB,Betu papy
**,,,
SK,,WS,Pice glau
SK,,TA,Popu trem
SK,,BS,Pice mari
SK,,BP,Popu balb
SK,,JP,Pinu bank
SK,,WB,Betu papy
SK,,BF,Abie bals
SK,,WE,Ulmu amer
SK,,TL,Lari lari
SK,,LP,Pinu cont
SK,,MM,Acer negu
SK,,BO,Quer macr
SK,,GA,Frax penn
SK,,RP,Pinu resi
SK,,SP,Pinu sylv
**,,,
WBNP,,*A,Popu spp.
WBNP,,AL,Alnu spp.
WBNP,,BS,Pice mari
WBNP,,BC,Pice mari
WBNP,,*P,Pinu spp.
WBNP,,*PI,Pinu spp.
WBNP,,*PX,Pinu spp.
WBNP,,PN,Pinu spp.
WBNP,,PO,Popu spp.
WBNP,,*SB,Pice mari
WBNP,,*SW,Pice glau
WBNP,,*TA,Popu spp.
WBNP,,WS,Pice glau
WBNP,,WW,Sali spp.
WBNP,,ER,WBNP ERIC
WBNP,,GR,WBNP GRAM
WBNP,,GC,WBNP HEGR
**,,,
YT,,A,Popu trem
YT,,B,Popu balb
YT,,F,Abie lasi
YT,,L,Lari lari
YT,,W,Betu papy
YT,,P,Pinu cont
YT,,SB,Pice mari
YT,,SW,Pice glau
**,,,
BC,,ACB,Popu balb
BC,,*AC,Popu bals
BC,,AC,Popu balb
BC,,ACT,Popu balt
BC,,*AD,Popu delx
BC,,AD,Popu delt
BC,,A,Popu spp.
BC,,AT,Popu trem
BC,,*AX,Popu delx
BC,,AX,Popu hybr
BC,,BA,Abie amab
BC,,B,Abie spp.
BC,,BB,Abie bals
BC,,BG,Abie gran
BC,,BL,Abie lasi
BC,,BM,Abie magn
BC,,BP,Abie proc
BC,,C,Thuj plic
BC,,CW,Thuj plic
BC,,D,Alnu spp.
BC,,DM,Alnu inca
BC,,DR,Alnu rubr
BC,,EA,Betu neoa
BC,,E,Betu spp.
BC,,EE,Betu pend
BC,,EP,Betu papy
BC,,ES,Betu pube
BC,,EW,Betu occi
BC,,EY,Betu alle
BC,,*FDC,Pseu men
BC,,FDC,Pseu menm
BC,,*FDI,Pseu men
BC,,FDI,Pseu meng
BC,,FD,Pseu menz
BC,,F,Pseu menz
BC,,G,Corn nutt
BC,,GP,Corn nutt
BC,,HM,Tsug mert
BC,,H,Tsug spp.
BC,,HW,Tsug hete
BC,,HXM,Tsug merx
BC,,J,Juni scop
BC,,JR,Juni scop
BC,,K,Rham purs
BC,,LA,Lari lyal
BC,,L,Lari spp.
BC,,LS,Lari sibi
BC,,LT,Lari lari
BC,,LW,Lari occi
BC,,M,Acer spp.
BC,,MB,Acer macr
BC,,MV,Acer circ
BC,,OA,Calc decu
BC,,PA,Pinu albi
BC,,PF,Pinu flex
BC,,PJ,Pinu bank
BC,,*PLC,Pinu cont
BC,,PLC,Pinu conc
BC,,*PLI,Pinu cont
BC,,PLI,Pinu conl
BC,,PL,Pinu cont
BC,,PM,Pinu radi
BC,,P,Pinu spp.
BC,,PR,Pinu resi
BC,,PW,Pinu mont
BC,,PXJ,Pinu murx
BC,,PY,Pinu pond
BC,,QG,Quer garr
BC,,Q,Quer spp.
BC,,RA,Arbu menz
BC,,R,Arbu menz
BC,,SB,Pice mari
BC,,SE,Pice enge
BC,,SN,Pice abie
BC,,S,Pice spp.
BC,,SS,Pice sitc
BC,,SW,Pice glau
BC,,*SXL,Pice lutx
BC,,SXL,Pice sitx
BC,,*SX,Pice sppx
BC,,SX,Pice hybr
BC,,SXS,Pice sitx
BC,,SXW,Pice enge
BC,,T,Taxu brev
BC,,TW,Taxu brev
BC,,U,Malu pumi
BC,,VB,Prun emar
BC,,VP,Prun pens
BC,,V,Prun spp.
BC,,VS,Prun aviu
BC,,WA,Sali spp.
BC,,WB,Sali bebb
BC,,WP,Sali luci
BC,,W,Sali spp.
BC,,WS,Sali scou
BC,,XC,Soft unkn
BC,,*XH,hard unkn
BC,,XH,Hard unkn
BC,,*X,Prun pens
BC,,X,Uncl spp.
BC,,YC,Cham noot
BC,,Y,Cham noot
BC,,ZC,Soft unkn
BC,,*ZH,hard unkn
BC,,ZH,Hard unkn
BC,,Z,Uncl spp.
**,,,
ON,,AB,Frax nigr
ON,,AG,Frax penn
ON,,AH,Frax spp.
ON,,AL,Alnu spp.
ON,,AM,Sorb spp.
ON,,AP,Frax prof
ON,,AQ,Frax quad
ON,,AW,Frax amer
ON,,AX,Frax spp.
ON,,B,Abie bals
ON,,BB,Carp caro
ON,,BC,Betu lent
ON,,BD,Tili amer
ON,,BE,Fagu gran
ON,,BF,Abie bals
ON,,BG,Betu popu
ON,,BL,Tili plat
ON,,BN,Jugl cine
ON,,BP,Betu pend
ON,,BS,Pice mari
ON,,BW,Betu papy
ON,,BY,Betu alle
ON,,CAT,Cata spec
ON,,CB,Prun sero
ON,,CC,Prun virg
ON,,CD,Cast dent
ON,,CE,Thuj occi
ON,,*CH,Prun cera
ON,,CH,Prun spp.
ON,,CHB,Prun spp.
ON,,CP,Prun penn
ON,,CS,Prun cera
ON,,CM,Prun aviu
ON,,CP,Prun pens
ON,,CR,Thuj juni
ON,,CT,Magn acum
ON,,CW,Thuj occi
ON,,E,Ulmu amer
ON,,EMA,Sorb aucu
ON,,ER,Ulmu rubr
ON,,EU,Ulmu thom
ON,,EW,Ulmu amer
ON,,EX,Ulmu spp.
ON,,*FB,Abie bals
ON,,GB,Nyss sylv
ON,,GT,Gled tria
ON,,*H,Tsug spp.
ON,,*HAZ,Hana virg
ON,,HAZ,Hama virg
ON,,HB,Cary cord
ON,,*HC,Aesc hypp
ON,,HC,Aesc hipp
ON,,HE,Tsug cana
ON,,H,Tsug cana
ON,,HI,Cary spp.
ON,,HK,Celt occi
ON,,HL,Cary laci
ON,,HM,Cary tome
ON,,HP,Cary glab
ON,,*HS,Cary orav
ON,,HS,Cary ovat
ON,,HT,Crat spp.
ON,,IW,Ostr virg
ON,,KK,Gymn dioi
ON,,L,Lari lari
ON,,LA,Lari lari
ON,,LB,Robi pseu
ON,,LE,Lari deci
ON,,LJ,Lari kaem
ON,,LL,Tili cord
ON,,LO,Robi spp.
ON,,*M,Acer spp.
ON,,MB,Acer nigr
ON,,MF,Acer free
ON,,MH,Acer sacc
ON,,MM,Acer negu
ON,,MN,Acer plat
ON,,MO,Moru rubr
ON,,MP,Acer pens
ON,,MR,Acer rubr
ON,,MS,Acer sach
ON,,MT,Acer spic
ON,,M,Acer spp.
ON,,MX,Acer spp.
ON,,OB,Quer macr
ON,,OBL,Quer velu
ON,,OC,Soft unkn
ON,,OCH,Quer mueh
ON,,OH,Hard unkn
ON,,OP,Quer palu
ON,,OR,Quer rubr
ON,,OS,Quer shum
ON,,OSW,Quer bico
ON,,OW,Quer alba
ON,,*OX,Quer spp.
ON,,O,Quer spp.
ON,,OX,Quer spp.
ON,,PA,Asim tril
ON,,PB,Popu balb
ON,,PC,Popu cana
ON,,PD,Popu delt
ON,,PE,Popu alba
ON,,*PH,Popu delx
ON,,PH,Popu hybr
ON,,PJ,Pinu bank
ON,,PL,Popu gran
ON,,PN,Pinu nigr
ON,,PO,Popu spp.
ON,,PP,Pinu rigi
ON,,PR,Pinu resi
ON,,PS,Pinu sylv
ON,,PT,Popu trem
ON,,PW,Pinu stro
ON,,P,Pinu spp.
ON,,PX,Pinu spp.
ON,,RED,Cerc cana
ON,,*S,Pice mari
ON,,S,Pice spp.
ON,,*SA,Sass albi
ON,,SB,Pice mari
ON,,SC,Pice pung
ON,,SK,Pice koya
ON,,*SN,Pice abi
ON,,SN,Pice abie
ON,,SR,Pice rubr
ON,,SS,Sass albi
ON,,SW,Pice glau
ON,,SX,Pice spp.
ON,,SY,Plan occi
ON,,TP,Liri tuli
ON,,W,Sali spp.
ON,,WB,Jugl nigr
ON,,WI,Sali spp.
**,,,
QC,3rd,*AL,Alnu spp.
QC,3rd,BB,Betu spp.
QC,3rd,BG,Betu popu
QC,3rd,BJ,Betu alle
QC,3rd,BOJ,Betu alle
QC,3rd,BP,Betu papy
QC,3rd,C,Thuj occi
QC,3rd,CB,Quer alba
QC,3rd,CC,Cary cord
QC,3rd,CF,Cary orav
QC,3rd,CI,Quer bico
QC,3rd,CG,Quer macr
QC,3rd,CHB,Quer alba
QC,3rd,CH,Quer spp.
QC,3rd,CHR,Quer rubr
QC,3rd,CR,Quer rubr
QC,3rd,CT,Prun sero
QC,3rd,CV,Prun virg
QC,3rd,E,Pice spp.
QC,3rd,EA,Acer sach
QC,3rd,EB,Pice glau
QC,3rd,*EH,Pice rube
QC,3rd,EH,Pice hybr
QC,3rd,EI,Acer nigr
QC,3rd,EN,Pice mari
QC,3rd,*EN,Pice spp.
QC,3rd,EO,Acer rubr
QC,3rd,EPH,Pice rube
QC,3rd,EPL,Pice glau
QC,3rd,EPN,Pice mari
QC,3rd,EPO,Pice abie
QC,3rd,EP,Pice spp.
QC,3rd,ER,Acer spp.
QC,3rd,ERS,Acer sacc
QC,3rd,ES,Acer sacc
QC,3rd,EU,Pice rube
QC,3rd,EV,Pice abie
QC,3rd,FA,Frax amer
QC,3rd,FEL,Hard unkn
QC,3rd,F,Hard unkn
QC,3rd,FH,Hard mois
QC,3rd,FI,Hard into
QC,3rd,*FNC,Hard nonc
QC,3rd,*FN,Hard nonc
QC,3rd,FNC,Hard nonc
QC,3rd,FN,Hard nonc
QC,3rd,FO,Frax nigr
QC,3rd,FP,Frax penn
QC,3rd,FRA,Frax amer
QC,3rd,FRN,Frax nigr
QC,3rd,FRP,Frax penn
QC,3rd,FT,Hard tole
QC,3rd,*FU,Hard nonc
QC,3rd,FX,Hard unkn
QC,3rd,FZ,Hard unkn
QC,3rd,G,Pice glau
QC,3rd,HG,Fagu gran
QC,3rd,MEH,Lari hybr
QC,3rd,MEJ,Lari kaem
QC,3rd,ME,Lari deci
QC,3rd,MEL,Lari lari
QC,3rd,MEU,Lari deci
QC,3rd,MJ,Lari kaem
QC,3rd,ML,Lari lari
QC,3rd,MX,Uncl spp.
QC,3rd,MR,Soft unkn
QC,3rd,MF,Hard unkn
QC,3rd,NA,Jugl nigr
QC,3rd,NC,Jugl cine
QC,3rd,OA,Ulmu rubr
QC,3rd,OR,Ulmu spp.
QC,3rd,OT,Ulmu thom
QC,3rd,OV,Ostr virg
QC,3rd,PA,Popu balb
QC,3rd,PB,Pinu stro
QC,3rd,PC,Pinu rigi
QC,3rd,PD,Popu gran
QC,3rd,PED,Popu delt
QC,3rd,*PEH,Popu delx
QC,3rd,PEH,Popu hybr
QC,3rd,PE,Popu spp.
QC,3rd,PEU,Popu nigr
QC,3rd,PG,Pinu bank
QC,3rd,PH,Popu delx
QC,3rd,PIB,Pinu stro
QC,3rd,PID,Pinu rigi
QC,3rd,PIG,Pinu bank
QC,3rd,PI,Pinu spp.
QC,3rd,PIR,Pinu resi
QC,3rd,PIS,Pinu sylv
QC,3rd,PL,Popu delt
QC,3rd,PO,Popu nigr
QC,3rd,PR,Pinu resi
QC,3rd,PRU,Tsug cana
QC,3rd,PS,Pinu sylv
QC,3rd,PT,Popu trem
QC,3rd,PU,Tsug cana
QC,3rd,RES,Soft unkn
QC,3rd,R,Soft unkn
QC,3rd,RX,Soft unkn
QC,3rd,RZ,Soft unkn
QC,3rd,SAB,Abie bals
QC,3rd,S,Abie pice
QC,3rd,SB,Abie bals
QC,3rd,SE,Abie pice
QC,3rd,TA,Tili amer
QC,3rd,THO,Thuj occi
QC,3rd,TO,Thuj occi
**,,,
QC,4th,BB,Betu spp.
QC,4th,BG,Betu popu
QC,4th,BJ,Betu alle
QC,4th,BOJ,Betu alle
QC,4th,BP,Betu papy
QC,4th,CB,Quer alba
QC,4th,CC,Cary cord
QC,4th,CF,Cary orat
QC,4th,CG,Quer macr
QC,4th,CHB,Quer alba
QC,4th,CH,Quer spp.
QC,4th,CHR,Quer rubr
QC,4th,CI,Quer bico
QC,4th,CR,Quer rubr
QC,4th,C,Thuj occi
QC,4th,CT,Prun sero
QC,4th,CV,Prun virg
QC,4th,EA,Acer sach
QC,4th,EB,Pice glau
QC,4th,EH,Pice hybr
QC,4th,*EH,Pice rube
QC,4th,EI,Acer nigr
QC,4th,EN,Pice mari
QC,4th,*EN,Pice spp.
QC,4th,EO,Acer rubr
QC,4th,EPH,Pice rube
QC,4th,E,Pice spp.
QC,4th,EPL,Pice glau
QC,4th,EPN,Pice mari
QC,4th,EPO,Pice abie
QC,4th,EP,Pice spp.
QC,4th,ER,Acer spp.
QC,4th,ERS,Acer sacc
QC,4th,ES,Acer sacc
QC,4th,EU,Pice rube
QC,4th,EV,Pice abie
QC,4th,FA,Frax amer
QC,4th,FEL,Hard unkn
QC,4th,F,Hard unkn
QC,4th,FH,Hard mois
QC,4th,FI,Hard into
QC,4th,*FNC,Hard nonc
QC,4th,FNC,Hard nonc
QC,4th,*FN,Hard nonc
QC,4th,FN,Hard nonc
QC,4th,FO,Frax nigr
QC,4th,FP,Frax penn
QC,4th,FRA,Frax amer
QC,4th,FRN,Frax nigr
QC,4th,FRP,Frax penn
QC,4th,FT,Hard tole
QC,4th,*FU,Hard nonc
QC,4th,FX,Hard unkn
QC,4th,FZ,Hard unkn
QC,4th,G,Pice glau
QC,4th,HG,Fagu gran
QC,4th,MEH,Lari hybr
QC,4th,MEJ,Lari kaem
QC,4th,ME,Lari deci
QC,4th,MEL,Lari lari
QC,4th,MEU,Lari deci
QC,4th,MF,Hard unkn
QC,4th,MH,Lari hybr
QC,4th,MJ,Lari kaem
QC,4th,ML,Lari lari
QC,4th,MR,Soft unkn
QC,4th,MX,Uncl spp.
QC,4th,NA,Jugl nigr
QC,4th,NC,Jugl cine
QC,4th,NN,Jugl nigr
QC,4th,OA,Ulmu amer
QC,4th,OO,Ulmu rubr
QC,4th,OR,Ulmu spp.
QC,4th,OT,Ulmu thom
QC,4th,OV,Ostr virg
QC,4th,PA,Popu balb
QC,4th,PB,Pinu stro
QC,4th,PC,Pinu rigi
QC,4th,PD,Popu gran
QC,4th,PED,Popu delt
QC,4th,*PEH,Popu delx
QC,4th,PEH,Popu hybr
QC,4th,PE,Popu spp.
QC,4th,PEU,Popu nigr
QC,4th,PG,Pinu bank
QC,4th,PH,Popu delx
QC,4th,PIB,Pinu stro
QC,4th,PID,Pinu rigi
QC,4th,PIG,Pinu bank
QC,4th,PI,Pinu spp.
QC,4th,PIR,Pinu resi
QC,4th,PIS,Pinu sylv
QC,4th,PL,Popu delt
QC,4th,PO,Popu nigr
QC,4th,PR,Pinu resi
QC,4th,PRU,Tsug cana
QC,4th,PS,Pinu sylv
QC,4th,PT,Popu trem
QC,4th,PU,Tsug cana
QC,4th,RES,Soft unkn
QC,4th,R,Soft unkn
QC,4th,RX,Soft unkn
QC,4th,RZ,Soft unkn
QC,4th,SAB,Abie bals
QC,4th,S,Abie pice
QC,4th,SB,Abie bals
QC,4th,SE,Abie pice
QC,4th,TA,Tili amer
QC,4th,THO,Thuj occi
QC,4th,TO,Thuj occi
