SOURCE_VAL,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5
*UN,Spec unkn,Spec unkn,Spec unkn,Spec unkn,Spec unkn
A,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.
AW,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem
BW,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy
FA,Abie lasi,Abie lasi,Abie lasi,Abie lasi,Abie lasi
FB,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals
FD,Pseu menz,Pseu menz,Pseu menz,Pseu menz,Pseu menz
LA,Lari lyal,Lari lyal,Lari lyal,Lari lyal,Lari lyal
LT,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari
LW,Lari occi,Lari occi,Lari occi,Lari occi,Lari occi
P,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.
PA,Pinu albi,Pinu albi,Pinu albi,Pinu albi,Pinu albi
PB,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb
PF,Pinu flex,Pinu flex,Pinu flex,Pinu flex,Pinu flex
PJ,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank
PL,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont
SB,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
SE,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge
SW,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau
BP,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy
WI,Sali spp.,Sali spp.,Sali spp.,Sali spp.,Sali spp.
AL,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.